category_code,category_name,sort_order
6801,"有源手术器械",1
680101,"有源手术器械-超声手术设备及附件",2
68010101,"超声手术设备",3
68010102,"高强度超声治疗设备",4
68010103,"超声手术设备附件",5
680102,"有源手术器械-激光手术设备及附件",6
68010201,"激光手术设备",7
68010202,"医用激光光纤",8
680103,"有源手术器械-高频/射频手术设备及附件",9
68010301,"高频手术设备",10
68010302,"射频消融设备",11
68010303,"氩保护气凝设备",12
68010304,"高频/射频用电极及导管",13
68010305,"射频消融设备用灌注泵",14
680104,"有源手术器械-微波手术设备",15
68010401,"微波手术设备",16
680105,"有源手术器械-冷冻手术设备及附件",17
68010501,"冷冻手术设备",18
68010502,"冷冻消融针及导管",19
680106,"有源手术器械-冲击波手术设备",20
68010601,"冲击波碎石机",21
680107,"有源手术器械-手术导航、控制系统",22
68010701,"手术导航系统",23
68010702,"手术定位系统",24
68010703,"手术控制系统",25
680108,"有源手术器械-手术照明设备",26
68010801,"手术无影灯",27
68010802,"手术辅助照明灯",28
680109,"有源手术器械-内窥镜手术用有源设备",29
68010901,"内窥镜手术用有源设备",30
680110,"有源手术器械-其他手术设备",31
68011001,"水刀",32
68011002,"分离控制盒",33
68011003,"电动吻合器",34
68011004,"手术动力系统",35
68011005,"取、植皮设备",36
6802,"无源手术器械",37
680201,"无源手术器械-刀",38
68020101,"手术刀",39
68020102,"血管刀",40
68020103,"备皮刀",41
68020104,"环切器",42
68020105,"内窥镜用刀",43
680202,"无源手术器械-凿",44
68020201,"手术凿",45
68020202,"手术锤",46
680203,"无源手术器械-剪",47
68020301,"手术剪",48
68020302,"器械剪",49
68020303,"内窥镜用剪",50
680204,"无源手术器械-钳",51
68020401,"组织钳",52
68020402,"取样钳",53
68020403,"分离钳",54
68020404,"牵引钳",55
68020405,"异物钳",56
68020406,"止血钳",57
68020407,"扩张钳",58
68020408,"器械钳",59
68020409,"内窥镜用组织钳",60
68020410,"内窥镜用取样钳",61
68020411,"内窥镜用分离钳",62
68020412,"内窥镜用异物钳",63
68020413,"内窥镜用器械钳",64
680205,"无源手术器械-镊",65
68020501,"组织镊",66
68020502,"器械镊",67
680206,"无源手术器械-夹",68
68020601,"器械夹",69
68020602,"止血夹",70
68020603,"器械夹",71
680207,"无源手术器械-针",72
68020701,"缝合针",73
68020702,"手术针",74
68020703,"定位针",75
68020704,"内窥镜取样针",76
680208,"无源手术器械-钩",77
68020801,"手术钩",78
68020802,"内窥镜用钩",79
680209,"无源手术器械-刮匙",80
68020901,"手术刮匙",81
68020902,"内窥镜用组织刮匙",82
680210,"无源手术器械-剥离器",83
68021001,"剥离器",84
68021002,"内窥镜用剥离器",85
680211,"无源手术器械-牵开器",86
